NUMERO;LATITUD;LONGITUD;BARRIO;REFERENCIA
1;5.074.983;-75.516.111;ASIS;AL LADO DEL CISCO DE SAN JOSE
2;5.074.962;-75.516.122;ASIS;AL LADO DEL CISCO DE SAN JOSE
3;5.075.076;-75.516.267;ASIS;AL LADO DEL CISCO DE SAN JOSE
4;5.075.167;-75.516.370;ASIS;AL LADO DEL CISCO DE SAN JOSE
5;5.075.708;-75.515.800;ASIS;AL LADO DEL CISCO DE SAN JOSE
6;5.075.748;-75.515.988;ASIS;AL LADO DEL CISCO DE SAN JOSE
7;5.074.943;-75.513.137;SAN IGNACIO;SAN IGNACIO
8;5.074.913;-75.513.047;SAN IGNACIO;SAN IGNACIO
9;5.074.997;-75.513.071;SAN IGNACIO;SAN IGNACIO
10;5.075.742;-75.514.336;CAMINO DEL MEDIO;HAY UNA HUERTA
11;5.078.323;-75.515.034;AVANZADA;EN LA PARTE BAJA
12;5.078.216;-75.515.063;AVANZADA;EN LA PARTE BAJA
13;5.078.339;-75.515.046;AVANZADA;EN LA PARTE BAJA
14;5.078.371;-75.515.071;AVANZADA;EN LA PARTE BAJA
15;5.078.413;-75.515.080;AVANZADA;EN LA PARTE BAJA
16;5.077.703;-75.513.912;AVANZADA;EXPANSION DE PREDIO
17;5.073.355;-75.512.996;LA PELUSA;EXPANSION DE PREDIO- CASETA
18;5.072.380;-75.512.956;LA PELUSA;EXPANSION DE PREDIO- PARQUEADERO
19;5.071.739;-75.512.731;LA PELUSA;INVASION VENTA DE COMIDA
20;;;;
